"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGB","FRGT","FRTH","GAHT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014826","FLINT FCWOS, MI US","1960-02-29",,,,,,,,,,"0.09","2.3","6.0",,"23","3",,,,,,"0.6",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-01",,,,,,,,,,"0.00","0.0","7.0",,"23","-4",,,,,,"0.6",,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-02",,,,,,,,,,"0.00","0.0","7.0",,"24","-1",,,,,,"0.6",,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-03",,,,,,,,,,"0.07","1.9","7.0",,"20","14",,,,,,"0.6",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-04",,,,,,,,,,"0.02","0.7","9.0",,"18","10",,,,,,"0.7",,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-05",,,,,,,,,,"0.01","0.1","9.0",,"20","7",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-06",,,,,,,,,,"0.00","0.0","8.0",,"23","-7",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-07",,,,,,,,,,"0.05","0.9","7.0",,"24","1",,,,,,"0.8",,,,,"    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-08",,,,,,,,,,"0.00","0.0","6.0",,"25","-8",,,,,,"0.7",,,,,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-09",,,,,,,,,,"0.00","0.0","5.0",,"24","-2",,,,,,"0.7",,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-10",,,,,,,,,,"0.00","0.0","5.0",,"27","8",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-11",,,,,,,,,,"0.00","0.0","4.0",,"20","-7",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-12",,,,,,,,,,"0.00","0.0","4.0",,"26","3",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-13",,,,,,,,,,"0.01","0.1","4.0",,"29","-4",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-14",,,,,,,,,,"0.01","0.4","3.0",,"32","11",,,,,,"0.7",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-15",,,,,,,,,,"0.00","0.0","3.0",,"32","3",,,,,,"0.8",,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-16",,,,,,,,,,"0.04","1.3","3.0",,"31","17",,,,,,"0.8",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-17",,,,,,,,,,"0.06","1.3","5.0",,"33","28",,,,,,"0.9",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-18",,,,,,,,,,"0.00","0.0","5.0",,"35","25",,,,,,"0.9",,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-19",,,,,,,,,,"0.00","0.0","2.0",,"36","17",,,,,,"0.8",,,,,"    1",,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-20",,,,,,,,,,"0.07","2.2","3.0",,"30","20",,,,,,"0.9",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-21",,,,,,,,,,"0.10","1.0","2.0",,"28","11",,,,,,"0.9",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-22",,,,,,,,,,"0.08","1.4","4.0",,"30","15",,,,,,"1.0",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-23",,,,,,,,,,"0.01","0.1","3.0",,"30","7",,,,,,"1.0",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-24",,,,,,,,,,"0.09","2.2","3.0",,"26","10",,,,,,"1.0",,,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-25",,,,,,,,,,"0.00","0.1","4.0",,"26","-1",,,,,,"1.2",,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-26",,,,,,,,,,"0.00","0.1","3.0",,"34","16",,,,,,"1.1",,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-27",,,,,,,,,,"0.00","0.0","1.0",,"50","25",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-28",,,,,,,,,,"0.00","0.0","0.0",,"44","33",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-29",,,,,,,,,,"0.20","0.0","0.0",,"63","32",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-30",,,,,,,,,,"0.83","0.0","0.0",,"65","40",,,,,,,,,,,"    1",,"    1",,,,,"    1",,,,,"    1",,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-03-31",,,,,,,,,,"0.34","0.0","0.0",,"40","30",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-01",,,,,,,,,,"0.00","0.0","0.0",,"48","31",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-02",,,,,,,,,,"0.00","0.0","0.0",,"59","35",,,,,,,,,,,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-03",,,,,,,,,,"0.00","0.0","0.0",,"53","36",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-04",,,,,,,,,,"0.00","0.0","0.0",,"40","35",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-05",,,,,,,,,,"0.02","0.1","0.0",,"35","26",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-06",,,,,,,,,,"0.12","1.2","0.0",,"37","21",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-07",,,,,,,,,,"0.02","0.0","1.0",,"46","29",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-08",,,,,,,,,,"0.03","0.3","0.0",,"41","26",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-09",,,,,,,,,,"0.03","0.3","0.0",,"36","26",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-10",,,,,,,,,,"0.00","0.0","0.0",,"42","22",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-11",,,,,,,,,,"0.02","0.0","0.0",,"53","32",,,,,,,,,,,"    1",,"    1",,"    1",,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-12",,,,,,,,,,"0.00","0.0","0.0",,"64","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-13",,,,,,,,,,"0.00","0.0","0.0",,"77","42",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-14",,,,,,,,,,"0.19","0.0","0.0",,"65","55",,,,,,,,,,,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-15",,,,,,,,,,"0.42","0.0","0.0",,"60","52",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-16",,,,,,,,,,"0.00","0.0","0.0",,"71","48",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-17",,,,,,,,,,"0.27","0.0","0.0",,"63","37",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-18",,,,,,,,,,"0.00","0.0","0.0",,"45","29",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-19",,,,,,,,,,"0.00","0.0","0.0",,"57","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-20",,,,,,,,,,"0.00","0.0","0.0",,"71","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-21",,,,,,,,,,"0.05","0.0","0.0",,"68","48",,,,,,,,,,,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-22",,,,,,,,,,"0.00","0.0","0.0",,"82","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-23",,,,,,,,,,"0.00","0.0","0.0",,"85","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","1960-04-24",,,,,,,,,,"0.25","0.0","0.0",,"83","61",,,,,,,,,,,,,"    1",,,,,,,,,,,,"    1",,,,,,
